Project Name,Sector,Donor,Date of Agreement,Completion Date,Commitments (USD),Disbursements (USD)
Shree Mahakaruna Sakyapa Vidyalaya,EDUCATION,American Himalayan Foundation,43630,45457,175076,35642
Kathmandu Valley Water Supply Improvement Project,GENERAL PUBLIC SERVICE,Asian Development Bank,40857,42735,0,51781702
Kathmandu Valley Water Supply Improvement Project,DRINKING WATER,Asian Development Bank,40857,42735,170000000,62925181
Tatopani Frontier Inspection Station Project,COMMERCE,China,40066, -,13637514,13718628
Renewable Energy for Rural Livelihood(RERL),ALTERNATE ENERGY,United Nations Development Programme,40603,41639,0,2700172
International Protection and Assistance to Refugees  Asylum Seekers and people without citizenship in Nepal,PEACE AND RECONSTRUCTION,United Nations High Commissioner for Refugees,40375,41470,14827904,10045160
Skills for Employment and Productivity in Low-Income Countries Labour Market Information and Employment Services (LIfE) Project,LABOUR,Korea International Cooperation Agency,41995,42978,1800000,1800000
Advancing Decent Work through Services to Constituents,LABOUR,International Labour Organization,42370,43496,4200000,4200000
Migrant Rights and Decent Work (MIRIDEW) Project,LABOUR,Swiss Agency for Development and Cooperation,43126,44227,1434868,906830
Gender Responsive Recovery for Sustainble Peace,LIVELIHOOD,United Nations Entity for Gender Equality and the Empowerment of Women 41114,42124,293540,293540, -
Way out of informality: Facilitating formalization of informal economy in Nepal.,LABOUR,Japan,41242,42735,1000000,910828
More and Better Jobs  especially for vulnerable groups.,POLICY AND STRATEGIC,International Labour Organization,40910,42369,2843946,2443765
Capacity building of ILO Constituents and major Stakeholders towards creating enabling environment for jobs.,YOUTH  SPORTS & CULTURE,International Labour Organization,40910,42369,855000,655000
Capacity building of ILO Constituents and major Stakeholders towards creating enabling environment for jobs.,INDUSTRY,International Labour Organization,40910,42369,4000000,3906219
Skills Enhancement for Employment Project (SEEP),EDUCATION,International Fund for Agricultural Development,39702,40359,870000,791516
ILO-DFID Partnership Programme on Fair Recruitment and Decent Work for Women Migrant Workers in South Asia and the Middle East,Women  CHILDREN & SOCIAL WELFARE,Department for International Development,41470,43312,1997840,1997840
Promoting the Effective Governance of Labour Migration from South Asia through Actions on Labour Market Information  Protection during Recruitment and Employment   Skills  and Development Impact (CTR 375260),POLICY AND STRATEGIC,European Union,41451,42641,1295016,1269504
Generation of productive employment for peace building,LIVELIHOOD,40910,41274,35637,35637, -
Generation of productive employment for peace building,YOUTH  SPORTS & CULTURE,United Nations Peace Fund,40910,41274,4268473,3971655
Towards Achieving the Elimination of the Worst Forms of Child Labour as Priority (ACHIEVE),Women  CHILDREN & SOCIAL WELFARE,Denmark,41445,42551,582000,582000
Facilitate for access of Women and Children with Disabilities/Impairments to Healthcare and Social Protection,LIVELIHOOD,Handicap International,43857,45683,1612887,0
Support of Returnee and Internally Displaced Households after the Earthquake in Nepal,LIVELIHOOD,People in Need,42766,43131,244634,244634
Support to discharge of disqualified maois combattans,PEACE AND RECONSTRUCTION,39821, -,6222408,6059262, -
SWAp III - Support of the implementation of the National Health Sector Stratregy,HEALTH,German Development Cooperation (KfW),42737,44226,11612000,4689400
Integrity in post earthquake reconstruction and rehabilitation,EARTHQUAKE RECONSTRUCTION,European Union, -, -,0,227735
Technical Assistance in Federalism Support,LOCAL DEVELOPMENT,European Union, -, -,0,22906
Higher Education Fair - ''Study in Europe'',EDUCATION,European Union, -, -,0,32198
Economic and Social Empowerment of Marginalized Communities in Kapilvastu,LIVELIHOOD,IM-Swedish Development Partner,43486,44957,3721800,778538
Integrated Check Post,URBAN DEVELOPMENT,India,38360,43831,0,913890
Scholarship/ Training,EDUCATION,India,43466,43496,0,1068668
Enhancing Tilganga Eye Care,HEALTH,Himalayan Cataract Project,42027,44197,924000,0
Local Initiatives to Reduce Impacts of Climate Change (LIRIC),AGRICULTURE,Adventist Development and Relief Agency,43863,44956,1107770,0
Wholistic Community Development Programme,LIVELIHOOD,United Vision Nepal,43125,43845,571600,237310
Generating Opportunities in Agriculture and Livelihoods (GOAL II),ENVIRONMENT SCIENCE & TECHNOLOGY,Adventist Development and Relief Agency,43489,45321,1570565,181188
Youth Employment Transformation initiative Project,YOUTH  SPORTS & CULTURE,International Development Association,43796,45321,120000000,0
Bagmati River Basin Improvement Project (Additional Financing),URBAN DEVELOPMENT,Asian Development Bank,43475,45688,63000000,0
ISc.LLC_ROP_NP,HEALTH,Helen Keller International,43466,43861,100000,100000
UCDavis_Chimney Dryer_NP,HEALTH,Helen Keller International,43466,43860,15000,15000
One River-One Community for Disaster Risk Reduction in Madi Municipality,HOME AFFAIRS,Shapla Neer,43857,44952,1163128,124448
Assessment and Research on Child Feeding-III (ARCH-III),HEALTH,Helen Keller International,43466,44589,434784,111611
Health  Education and Community Promotion Project III,DRINKING WATER,Back To Life,42020,44592,2951968,0
Nepal Regional Eye Care Partnerships Project - Phase II,HEALTH,The Fred Hollows Foundation,43120,43496,1889841,1453974
Nepal Regional Eye Care Partnerships Project - Phase II,HEALTH,The Fred Hollows Foundation,43120,43496,1889841,1650235
Promoting Informed Labor Migration  Preventing Trafficking in Person (TIP) and Promote Livelihood Opportunities in Nepal (2020-2022).,LIVELIHOOD,AWO International,43831,44592,1293071,0
Food Security Enhancement and Agricultural Resilience of the Earthquake-Affected Rural Nepalese Farmers-Phase II (FOSTER-II),AGRICULTURE,Adventist Development and Relief Agency,43952,45016,660973,0
Support to health sector preparedness and response activities to combat COVID-19 pandemic,HEALTH,Department for International Development,43862,44196,2249000,1546000
BUILDING A RESILIENT CHURIA REGION IN NEPAL (BRCRN),ENVIRONMENT SCIENCE & TECHNOLOGY,Green Climate Fund,43954,46092,39300000,0
Support of Medical Items for COVID-19 response,HEALTH,Korea International Cooperation Agency,43951,43951,78000,78000
Support to Relief and Recovery from COVID-19 (SRRC),HEALTH,Swiss Agency for Development and Cooperation,43948,44681,5042759,0
Small Project Credit of Integrated Representation (Medical Supplies to GoN-Response to Covid-19),HEALTH,Swiss Agency for Development and Cooperation,43497,44926,806841,0
Promoting Inclusive Resilience and Accountability through Youth Association Strengthening (PRAYAS) - CTR 412223,LOCAL DEVELOPMENT,European Union,43822,45291,0,459751
Democracy Dies in Darkness: Promoting safe  professional  independent and accountable media for the promotion of human rights  democracy and peace in Nepal CTR 412942,COMMUNICATIONS,European Union, -, -,0,174714
Sharing and Amplifying Her Allegorical Stories: SAHAS for Justice (2.0) CTR 412945,Women  CHILDREN & SOCIAL WELFARE,European Union, -, -,0,191849
Leveraging Women's Leadership and Empowerment in Value Chains-Transforming Social and Economic Norms for Planet 50:50 Nepal-CF/00108709,Women  CHILDREN & SOCIAL WELFARE,United Nations Entity for Gender Equality and the Empowerment of Women 43922,44196,750000,750000, -
Tayar Nepal,LOCAL DEVELOPMENT,U.S. Agency for International Development,43678, -,33550464,13256518
USAID’s Early Grade Reading Transition Support (EGRTS),EDUCATION,U.S. Agency for International Development,43983,44712,9900000,4296931
Peace through Justice (PtJ),PEACE AND RECONSTRUCTION,United Nations Peace Fund,39864,40421,1999830,1407955
Secondary Towns Integrated Urban Environmental Improvement Project,URBAN DEVELOPMENT,Asian Development Bank,40204,42035,77000000,48209246
Trafficking Risk Reduction in Nepal (TRRIN),Women  CHILDREN & SOCIAL WELFARE,International Organization for Migration,40214,40602,200000,200000
Harmonization of Protocols for Tuberculosis Diagnosis and Treatment of the Bhutanese Refugees in Nepal (HAPT,HEALTH,International Organization for Migration,39765,40908,394103,511560
Canadian Immigration Medical Examination and Pre-departure Medical Screening of Bhutanese Refugees in Nepal (CIMEP),HEALTH,International Organization for Migration,39804,41364,1388368,1274803
Fairness and Efficiency in Reparations to Conflict-Affected Persons (FERC),PEACE AND RECONSTRUCTION,United Nations Peace Fund,40262,40755,788021,788021
USRP Project for Bhutanese Refugee,OTHERS - SOCIAL,International Organization for Migration,39264,41182,11177734,11177734
Exploring Livelihood Options for Trafficked Women in Nepal (LOPS),Women  CHILDREN & SOCIAL WELFARE,International Organization for Migration,40099,40816,134522,128518
NPLJ80: HIV Prevention  Care and Treatment for Female Injecting Drug Users  Female Prisoners and Women living with HIV and AIDS in Nepal,OFF BUDGET,United Nations Office of Drugs and Crime,39573,40908,6104541,4353879
NPLJ96 “Technical assistance for a coordinated response to prevent HIV among injecting drug users and in prison settings in Nepal : advocacy  capacity building and monitoring and evaluation”,OFF BUDGET,United Nations Office of Drugs and Crime,39781,40908,1094000,1075661
Strengthening service provision for protection and assistance to victims of cross border trafficking between Bangladesh India,LOCAL DEVELOPMENT,United Nations Office of Drugs and Crime,41579, -,233000,0
Road Improvement Project,ROAD TRANSPORTATION,India Exim Bank,39096,40557,50000000,45785713
Nepal-Investment Climate Reform Program (NICRP),INDUSTRY,International Finance Cooperation,40310,41274,7409000,3260950
Road Sector Development Project Additional Financing,ROAD TRANSPORTATION,International Development Association,40606,44211,103740000,74662173
Syaprubesi Rasuwagadhi Road Project,ROAD TRANSPORTATION,China,39287,40285,32544379,8509453
Earthquake Emergency Assistance Project,URBAN DEVELOPMENT,Asian Development Bank,42237,43373,219309234,149431908
TA 9110-NEP: Strengthening Decentralized Support for Vulnerable and Conflict-Affected Families and Children,Women  CHILDREN & SOCIAL WELFARE,Japan Fund for Poverty Reduction,39488,41041,2000000,1629305
Nepal Earthquake Disaster Response Humanitarian Assistance,HOME AFFAIRS,Asian Development Bank,42123,42306,3000000,3000000
South Asia Sub-regional Economic Cooperation Roads Improvement Project,ROAD TRANSPORTATION,Asian Development Bank,42753,44592,0,27936299
Community-Managed Irrigated Agriculture (Sector) Project CMIASP,IRRIGATION,Asian Development Bank,38709, -,37000000,8458063
Community-Managed Irrigated Agriculture (Sector) Project CMIASP,AGRICULTURE,OPEC Fund for Inernational Development,38709, -,50000000,34090351
Nepal Public Financial Management Multi-Donor Trust Fund (PFM Grant No. TF 010455),ECONOMIC AFFAIRS,World Bank Trust Funds,40962,42185,2300000,1278869
Nepal India Electricity Transmission and Trade Project (NIETTP)2011,HYDRO ELECTRICITY,International Development Association,40739,42735,138000000,76446240
Agriculture and Food Security Project,AGRICULTURE,World Bank Trust Funds,41394,43190,46500000,40549878
Project for Improvement of Water Supply in Pokhara,DRINKING WATER,Japan International Cooperation Agency,42781,44926,42454952,0
The Project for Improvement of Aviation Safety Facilities in Major Airports,AIR TRANSPORTATION,Japan International Cooperation Agency,42613,44104,14190895,9815125
Pokhara Regional International Airport,AIR TRANSPORTATION,China,42450,43544,212916857,47976843
Fish Farming Development in Nepal,AGRICULTURE,41016,42458,3215658,523845, -
The Food Security Project for Underprivileged Farmers- 2012(KR2),AGRICULTURE,Japan - KR2,41028, -,3106550,2634088
Zoonoses Control Project,AGRICULTURE,World Bank Trust Funds,41095,41729,10000000,2790000
Ginger Competitiveness Project: Enhancing Sanitary and Phytosanitary Capacity of Nepalese Ginger Exports through Public Private Partnerships,AGRICULTURE,Food and Agriculture Organization,40968,42369,1173692,1236710
Policy assistance for bio-secure agro-food supply chain enhanced market access and food security for the small holding rural sector,AGRICULTURE,Food and Agriculture Organization,41182,41901,327000,324950
Improved Seeds for Farmers Programme,AGRICULTURE,International Fund for Agricultural Development,41245,43801,43889248,28988157
UNNATI- Inclusive Growth Programme in Nepal,AGRICULTURE,Denmark,41624,43450,73706904,11354592
Home Garden Project (HGP) Phase IV,AGRICULTURE,Swiss Agency for Development and Cooperation,41642,43117,3686323,2600704
Nepal Peace Trust Fund (NPTF),PEACE AND RECONSTRUCTION,European Union,39140,41820,187997580,81514446
Community Support Programme,LOCAL DEVELOPMENT,Department for International Development,40710,40999,37371674,27705958
Community Irrigation Project,LOCAL DEVELOPMENT,Asian Development Bank,40582,42794,26400000,22621086
Japan Fund for Poverty Reduction(JFPR) 9141 NEP Capacity Building for the Promotion of Legal Identity among the Poor in Nepal,LOCAL DEVELOPMENT,Asian Development Bank,40296,41756,2000000,244735
Empowering Rural Communities-Reaching the Unreached (SDF-ICT),COMMUNICATIONS,South Asian Association For Regional Cooperation,41190,41729,1933069,1251610
USAID Support to Nepal Peace Trust Fund,PEACE AND RECONSTRUCTION,U.S. Agency for International Development,41192,41912,1000000,1000000
Water Resource Preparatory Facility Project,IRRIGATION,Asian Development Bank,41215, -,11000000,8989676
UK Support to Increase Resilience to Natural Disasters in Nepal,ENVIRONMENT SCIENCE & TECHNOLOGY,Department for International Development,41156,42094,34887198,31142862
Sunaula Hazar Din ,Community Action for Nutrition Project,LOCAL DEVELOPMENT,41103,42916,40000000,31586837
TA 9135-NEP: Establishing Women and Children Service Centers,HOME AFFAIRS,Department for International Development,40197,41658,750000,715813
TA 8173-NEP: Strengthening Public Management Capacity,GENERAL ADMINISTRATION,Asian Development Bank,41151,42308,37000000,652541
Nepalese - German Manuscript Cataloging Project,TOURISM,German Nepal Help Association,37470,39309,2241901,0
Rural Access Programme Phase III,LOCAL DEVELOPMENT,Department for International Development,41344,44347,110450945,79713091
Rural Water Supply and Sanitation Project in Western Nepal, Completion Phase (RWSSP- WN II),LOCAL DEVELOPMENT,41533,43312,18305719,13024387
Local Governance and Community Development Programme  Phase II (LGCDP II),LOCAL DEVELOPMENT,Department for International Development,41619,42931,104342717,116900481
Local roads improvement Programme (LRIP),LOCAL DEVELOPMENT,Swiss Agency for Development and Cooperation,41732,43312,21974129,14320772
Procurement of Aircrafts from China ( 1 MA 60 3 Y12E ),TOURISM,China,41302,42035,27900000,28999984
Strengthening National Rural Transport Programme (SNRTP),LOCAL DEVELOPMENT,International Development Association,41722,43661,100000000,68987599
Linking Smallholders to Market (LINK),LOCAL DEVELOPMENT,HELVETAS Swiss Intercooperation Nepal,40674,42369,2725414,1496265
Rural Community Infrastructure Development Programme/Works ( WFP CPAP 2013- 2017),LOCAL DEVELOPMENT,World Food Programme,41702,43100,102606850,0
Rural Access Improvement and Decentralization Project(RAIDP),LOCAL DEVELOPMENT,International Development Association,40373,41639,73781566,49350000
Pilot Trail Bridge Support Program,LOCAL DEVELOPMENT,Department for International Development,40241,40543,3047851,2963207
Emergency Peace Support Project,PEACE AND RECONSTRUCTION,International Development Association,39686,41090,35979628,34415108
Manmohan Memorial Polytechnic,EDUCATION,India,37802,38533,4588208,0
Enhancing Awareness and Garnering Support for Elimination of Doping in Sports in Nepal,YOUTH  SPORTS & CULTURE,United Nations Educational Scientific and Cultural Organization,40465,40483,20000,0
Skills for Employment Project,EDUCATION,Asian Development Bank,38385,40633,20000000,16632951
Country Programme Nepal (2002-2012),EDUCATION,World Food Programme,39351,41274,36585465,20840649
The Establishment of the Korea-Nepal Institute of Technology in Butwal,EDUCATION,Korea International Cooperation Agency,39696,40908,5680000,5323332
Establishment of the ICT Center to Enhance ICT Capabilities in Nepal,EDUCATION,Korea International Cooperation Agency,40444,41356,5000000,5033181
Khimti Neighbourhood Development Project - KIND,ELECTRICITY,United Nations Development Programme,39268,40908,3975551,4318946
Middle Marsyangdi Hydrolectric Project,ELECTRICITY,German Development Cooperation (KfW),36214,40908,194282441,211321227
Chameliya Hydro Electric Project,ELECTRICITY,Economic Development Cooperation Fund Korea,39744,40908,45000000,47635001
Rehabilitation of Devighat hydro Power plant,ELECTRICITY,India,39541, -,4000000,1789177
Supporting Investments in Water Security in River Basins,WATER AND ENERGY COMMISSION SECRETARIATS,Asian Development Bank,40363,41611,2430000,0
Rural Finance Sector Development Cluster Program (Sub Program 2),FINANCIAL REFORM,Asian Development Bank,40535,41090,72267163,68818835
EC-Nepal,COMMERCE,European Union,39161,41274,2911293,1157681
Capital Markets and Infrastructure Finance Support Project,FINANCIAL REFORM,Asian Development Bank,40721,41790,5000000,2345158
Federalism Support Programme Phase II,PEACE AND RECONSTRUCTION,German Development Cooperation (GIZ),39995,40390,1499864,1320878
Rural Finance Sector Development-Cluster Program (Sub Program I),FINANCIAL REFORM,Asian Development Bank,39022,40724,64700000,64161737
SAMRIDDHI-Rural Enterprises and Remittances,LABOUR,International Fund for Agricultural Development, -, -,0,2069072
SAMRIDDHI-Rural Enterprises and Remittances,LIVELIHOOD,International Fund for Agricultural Development, -, -,0,2129378
Integrated Food Security Phase Classification (IPC)in Asia.,AGRICULTURE,Food and Agriculture Organization,40848,41364,1679585,1665902
Supporting the achievement of the Millineum goals in Asia and the Pacific(Phase III),PLANNING & STATISTICS,The United Nations Economic and Social Commission for Asia and the Pacific, -,41044,7000,0
TA-Demonstration of sustainable Forest Management with Community Participation in Nepal,FOREST,PlaNet Finance Nepal, -,41274,500179,0
Strengthening Capacity of the department of National Parks and Wildlife Conservation for Effective Management of Mountain Protected Area,FOREST,World Bank Trust Funds,40721,41845,500000,330219
Land Records Information Management System,OFF BUDGET,Asian Development Bank, -,41820,1365000,0
TA 7883-NEP: Building Climate Resilience of Watershed in Mountain eco-region,FOREST,Asian Development Bank,40882,41486,24400000,1288819
Building Climate Resilience of Watersheds in Mountain Eco-Regions,FOREST,Asian Development Bank and Nordic Development Fund,41659,43861,28100000,2047498
Strengthening Institutional Capacity of South Asia Wildlife Enforcement Network to combat Wildlife Crime Project(SAWEN),FOREST,World Bank Trust Funds, -, -,400000,201033
Safer Migration Project ( SaMi)  Phase II,LABOUR,Swiss Agency for Development and Cooperation,41290,42750,13785919,13991404
Electricity Transmission Expansion and Supply Improvement Project (ETESIP),ELECTRICITY,Asian Development Bank,40991,42916,100921062,47552128
School Sector Programme (School Sector Reform Programme)Cofinancing by Australia,EDUCATION,Asian Development Bank,41071,42165,3465000,3226000
Nepal Earthquake Housing Reconstruction Project (MDTF),HOUSING,World Bank Trust Funds,42282,44196,19600000,19600000
Safa Pani - Water  Sanitation and Hygiene (WASH) Recovery Activity (WRA), -,DRINKING WATER,42339,43799,4273734,4248429
Multi Donor Trust Fund Supporting Public Financial Management,FINANCIAL SERVICES,U.S. Agency for International Development,42038,43131,712576,712576
Clorhexidine Navi (Cord) Care project (Saving Lives at Birth),HEALTH,U.S. Agency for International Development,40816,43007,2596184,2596184
Inclusive Dialogue for Political Transition (IDPT),OFF BUDGET,U.S. Agency for International Development,42038,43133,463107,463107
Sustainable Action for Resilience and Food Security (SABAL),LIVELIHOOD,U.S. Agency for International Development,41929,43754,59000000,37602083
Mitigating Conflict and Improving Implementation of GESI Policies through a People-to-People Approach in Nepal,Women  CHILDREN & SOCIAL WELFARE,U.S. Agency for International Development,42212,42851,1947468,1947468
USAID’s Nepal Hydropower Development Project,HYDRO ELECTRICITY,U.S. Agency for International Development,42194,44020,9936493,9936493
Promoting Quality Education for Marginalized Children in Dhanusha (3 Projects),EDUCATION,  -, -,190816,730746, -
Green Climate Fund (GCF) Readiness Programme in Nepal,ENVIRONMENT SCIENCE & TECHNOLOGY,United Nations Development Programme,42247,42735,1580929,1487762
Support for an Outdoor Broadcast Van and Associated Emergency Radio System in Nepal,COMMUNICATIONS,South Korea,42566,42735,325000,0
SUCHANA: Support to Championing National Capacity for Right to Information in Nepal II,COMMUNICATIONS,Governance Facility,42558,43465,815326,0
Nepal Seed And Fertilizer Project (NSAF),AGRICULTURE,U.S. Agency for International Development,42461,44285,15000000,11191830
Maternal and Child Health (MCSP)- Malari Advisor,HEALTH,U.S. Agency for International Development,42401,43131,900000,0
Emergency Relief Goods (Three Batches),HOUSING,China, -, -,22546181,22546181
Emergency Medical Supplies and Epidemic Prevention Supplies,HEALTH,China, -, -,3220883,3220883
Medical Equipment for B.P. Koirala Memorial Cancer Hospital,HEALTH,China, -, -,0,2254030
Medical Equipment for National Ayurveda Research and Training Center,HEALTH,China, -, -,0,2479433
Emergency Petrol Products,COMMERCE,China, -, -,0,1771486
Integrated District Health Program,HEALTH,Global Fund to Fight AIDS  Tuberculosis and Malaria, -, -,0,3387735
Integrated Child Health & Nutrition Program,HEALTH,Global Alliance for Vaccines and Immunisation South Asian Association For Regional Cooperation, -, -,0,582219
Integrated Platform for Gender Based Violence Prevention and Response in Nepal,Women  CHILDREN & SOCIAL WELFARE,World Bank Trust Funds,42500,43559,500000,285366
Integrated Platform for Gender Based Violence Prevention and Response in Nepal,SOCIAL PROTECTION,World Bank Trust Funds,42500,43559,1300000,526244
Strengthening PFM II,FINANCIAL REFORM,World Bank Trust Funds,42293,42947,3680000,3140756
Connectivity projects,ROAD TRANSPORTATION,India, -, -,52840445,53521587
Economic and Development Cooperation,LOCAL DEVELOPMENT,India, -, -,14979660,60935011
Economic and Development Cooperation,DRINKING WATER,India, -, -,52840446,37860786
Rural Connectivity Improvement Project,ECONOMIC AFFAIRS,Asian Development Bank,43143,44957,100000000,24726829
SASEC Customs Reforms and Modernization for Trade Facilitation Program,ECONOMIC AFFAIRS,Asian Development Bank,42988,44439,22000000,398222
National Health Sector Programme III,HEALTH,German Development Cooperation (KfW),43041,44561,11771000,0
Improvement of Maternal and Child Care in Remote Areas (IMCCR),HEALTH,German Development Cooperation (KfW),42032,44197,10947000,1770149
Child Welfare Committee,Women  CHILDREN & SOCIAL WELFARE,South Asian Association For Regional Cooperation, -, -,0,150249
Control of Aids and Sexually Transmitted Diseases,HEALTH,Global Fund to Fight AIDS  Tuberculosis and Malaria, -, -,0,1724464
Upgrading of Load Dispatch Center (LDC),HYDRO ELECTRICITY,German Development Cooperation (KfW),42010, -,7865200,1587714
Chilime - Trishuli Transmission Line Project,HYDRO ELECTRICITY,German Development Cooperation (KfW),42026,43466,7609000,4534417
Neighborhood support program - Chilime-Trisuli,HYDRO ELECTRICITY,German Development Cooperation (KfW), -, -,2445750,1343227
Upper Trishuli 3A - Kathmandu 220kV Transmission Line and 132kV Line Bay Extension Works Project,HYDRO ELECTRICITY,China,40600,41512,24335542,9272899
Electoral Support Project Phase II,CONSTITUTIONAL BODIES,Government of Australia,40937,42400,43032815,29011039
Tanahu Hydropower Project,ENERGY,Asian Development Bank European Investment Bank,41287,43861,404000000,34106984
Kali Gandaki A Hydropower Plant Rehabilitation Project,HYDRO ELECTRICITY,International Development Association,41463,42916,27260000,4855364
IR-1.1 Equity-based MNCH and HIV Policies,HEALTH,United Nations Children's Fund, -, -,143860,143860
IR-2.1 District Health and HIV system,HEALTH,United Nations Children's Fund, -, -,3912452,3912452
IR 3.4 Adolescent Lifeskills and entrepreneurship,OFF BUDGET,United Nations Children's Fund,41365, -,1814096,1814096
IR 3.6. Social Change Among Staff,OTHERS - SOCIAL,United Nations Children's Fund,41380, -,954000,1404635
1.5. National Adolescent Plan and Polices,POLICY AND STRATEGIC,United Nations Children's Fund,41380,43100,865971,865971
IR 1.7 Govt. institutions at national and sub-national levels promote the rights of children  adolescents and women are more able to generate and use evidence to develop  fund and monitor equity-focused,PLANNING & STATISTICS,United Nations Children's Fund, -, -,901248,524973
IR 1.8 CRC  Legislation and Lesgislature,Women  CHILDREN & SOCIAL WELFARE,United Nations Children's Fund,41275,42369,693000,579728
IR 2.8: District Social Protection System,OTHERS - SOCIAL,United Nations Children's Fund,41334,42369,500000,588392
IR 2.9: Child Friendly Local Governance,LOCAL DEVELOPMENT,United Nations Children's Fund,41380,42369,2089980,3829838
IR 3.7: Children and adolescents participate in governance,OTHERS - SOCIAL,United Nations Children's Fund,41380, -,467449,651244
I.R. 1.3: WASH Plan and Finance Strategy,DRINKING WATER,United Nations Children's Fund,41305,42369,81598,82378
I.R.2.3 District Water and Sanitation System,DRINKING WATER,United Nations Children's Fund,41305,42369,14227856,14227856
Development policy credit - DPC,POLICY AND STRATEGIC,International Development Association,41486,41521,30000000,30800000
Election Support Project,CONSTITUTIONAL BODIES,Japan,41449,42766,149000000,0
Second Small town Water Supply and Sanitation Sector Project,DRINKING WATER,Asian Development Bank,40144,42277,45100000,41606583
STRENGTHENING FLOOD RESILIENCE IN KANKAI BASIN IN NEPAL: E2E EARLY WARNING,METEREOLOGY,Practical Action,42117,43212,498766,450922
Climate Proofing Growth and Development Programme,OFF BUDGET,Practical Action, -, -,2185260,763622
DAIRY FOR DEVELOPMENT IN NEPAL,LIVELIHOOD,Practical Action Nepal,43467,44227,527273,241178
Strengthening end-to-end flood Early Warning Systems (EWS) and preparedness for effective disaster reduction and resilience in Nepal.,ENVIRONMENT SCIENCE & TECHNOLOGY,U.S. Agency for International Development, -, -,622384,0
Nepal Flood Resilience Project- phase II,ENVIRONMENT SCIENCE & TECHNOLOGY,Practical Action Nepal, -, -,25407,133705
STRENGTHENING ACTIONS FOR FOSTERING RESILIENCE THROUGH EARLY WARNING AND RISK SENSITIVE PLANNING IN NEPAL (SAFER),COMMUNICATIONS,Practical Action,41430,41973,622928,402530
Sustainable Urban ENVIRONMENT LOCAL DEVELOPMENT,Practical Action,41309, -,978641,1035446, -
Nepal Flood Resilience Project,METEREOLOGY,Practical Action,42117,43943,1672076,1099532
Sustainable Hood-Stove Market in Nepal,ALTERNATE ENERGY,Practical Action Nepal,42027,43495,502418,905593
Saving Mothers’ and Infants’ Lives (SMILE),Women  CHILDREN & SOCIAL WELFARE,CARE Nepal,41682,42185,252809,271598
AWASAR,EDUCATION,CARE Nepal,42386,43131,1264449,1536846
ABA MERO PALO (Tipping Point),OTHERS - SOCIAL,CARE Nepal,42311,42855,1198638,1157019
Churiya Livelihood Program,FOREST,Denmark,39264,41455,6020197,5265576
Jaladh Integrated Watershed and Natural Resource Management Program,LIVELIHOOD,Denmark,39630,41274,1880894,1840449
Janajati social and economic empowerment project,OTHERS - SOCIAL,European Union,39114,40939,1185361,1154978
Empowering Women in the Churia to Improve their Livelihoods (SHAKTI) Project,FOREST,CARE Nepal,39448,41274,1615690,1473694
Women and Youth as Pillars of Sustainable Peace (WYPSP),Women  CHILDREN & SOCIAL WELFARE,CARE Nepal,39563,41274,957088,875093
Safe Passage,LIVELIHOOD,European Union,39563,41274,2213037,2463169
Women Empowerment for transformation in Churia Area Project (SAKCHHAM II),LIVELIHOOD,CARE Nepal,40710,41274,1070359,1001763
Enhancing Mobile Population Access to HIV/AIDs Service  Information & Support (EMPHASIS),Women  CHILDREN & SOCIAL WELFARE,CARE Nepal,40196,41884,1479850,1465816
Strengthening State and Civil Society Capacity for Comprehensive Response to HIV/AIDS (Bharosa),Women  CHILDREN & SOCIAL WELFARE,CARE Nepal,40928,41639,1382010,636074
Strengthening Approaches for Maximizing Maternal  Neonatal  and Reproductive Health (SAMMAN),HEALTH,CARE Nepal,40793,42185,1183332,1277899
Women Empowerment for Transformation in the Churia area SAKCHAM III,Women  CHILDREN & SOCIAL WELFARE,CARE Nepal,41276,42369,781374,1005649
UDAAN-  Catching Missed Opportunity Access to quality Education for economically and socially vulnerable girls in Kapilvastu District,Women  CHILDREN & SOCIAL WELFARE,CARE Nepal,41968,42674,551553,536892
PAHUNCH - (Surakshit Matritwa Sewa ma Pahunch),HEALTH,CARE Nepal,41730,42643,431986,410754
Nepal Earthquake Recovery and Rehabilitation Project,Women  CHILDREN & SOCIAL WELFARE,World Vision International,42496,43137,30000000,28193413
INTEGRATED AREA DEVELOPMENT PROGRAMME - II,Women  CHILDREN & SOCIAL WELFARE,World Vision International,42376,43860,41791050,33683150
Integrated Area Development Programme,AGRICULTURE,World Vision International,40703,42216,40349685,39174056
Piloting Hygiene Promotion through Routine Immunisation in Nepal,HEALTH,Water Aid Nepal,42030,43847,995614,970892
Community Water Supply Sanitation and Hygiene Support Project,ENVIRONMENT SCIENCE & TECHNOLOGY,Water Aid Nepal,41657,43482,20666516,7988647
Resilient WASH Post-earthquake: rebuilding water  sanitation and hygiene for resilient communities,DRINKING WATER,Water Aid Nepal,42706,43422,1525884,1302402
Health Service for prevention of Avoidable Disabilities and Rehabilitation of Children with Disability through Social Security Schemes.,HEALTH,Karuna Foundation,41490,43330,4718968,247520
Enhancing Livelihoods of Smallholder Farmers in Central Terai Districts of Nepal (ELIVES),COMMUNICATIONS,Adventist Development and Relief Agency,42459,43190,2536397,2516753
Food & Non-Food Item Distribution for Earthquake Victims in Sindhupalchwk,HOUSING,Adventist Development and Relief Agency,42125,42338,215000,213076
